1.0V, 周囲温度=15℃    
2022年1月10日 10:06:58,平均値=3306438,標準偏差=1372,最小値=3301647,最大値=3311273
3306388,3307759,3308322,3306474,3307727,3304927,3303927,3305347,3306404,3309313
3306325,3305981,3308792,3305661,3304611,3304336,3306092,3305501,3307247,3305568
3309663,3305793,3306851,3305310,3307623,3305784,3307838,3306180,3307735,3307885
3306709,3308983,3306649,3308425,3306227,3307219,3303826,3308055,3305733,3305874
3305996,3306795,3307052,3305814,3308597,3305993,3306167,3307092,3307278,3306612
3306677,3305245,3305508,3308251,3306153,3306629,3305997,3304522,3307691,3304093
3307824,3306190,3304131,3307068,3307491,3307184,3307097,3304121,3307207,3307980
3306937,3307180,3304843,3306495,3306497,3308117,3305810,3306339,3309272,3308054
3305474,3306894,3307586,3305395,3306280,3306648,3304207,3308711,3307121,3304811
3306438,3306787,3304938,3307160,3306230,3305585,3307478,3306639,3307449,3307995
3304626,3308050,3307668,3307658,3305735,3304470,3304795,3311273,3303470,3307134
3305110,3308519,3307478,3305265,3307264,3306783,3306665,3307940,3305769,3305510
3308606,3309363,3307982,3305121,3306634,3305346,3306547,3304526,3305004,3308217
3308667,3305249,3309368,3304893,3306516,3306033,3306716,3306137,3303900,3306889
3302663,3307652,3306669,3304109,3307339,3307441,3308216,3306892,3305953,3303456
3305889,3305544,3306080,3306545,3306438,3307352,3307706,3305625,3307754,3304201
3307054,3303422,3306245,3304124,3307726,3307959,3305552,3306874,3307996,3304044
3306677,3305627,3305693,3305182,3306603,3307721,3305251,3307772,3308071,3307757
3306113,3306742,3305476,3307867,3305383,3307035,3305238,3307020,3306765,3306955
3306988,3308598,3307329,3310004,3305875,3306980,3306192,3307602,3304977,3306900
3305879,3305482,3305814,3308632,3303605,3304632,3306551,3306199,3306799,3306082
3307742,3306172,3306661,3307549,3304316,3308510,3306552,3307517,3304054,3307098
3303349,3307669,3307798,3305668,3305585,3306693,3307904,3306711,3308100,3306478
3306550,3305875,3306744,3308193,3305603,3306599,3306547,3305708,3305744,3307989
3306109,3305056,3307937,3305819,3304906,3306845,3307456,3305374,3304625,3306468
3306341,3305244,3307287,3307511,3305794,3308192,3305944,3306286,3307561,3306527
3306294,3307196,3306492,3307695,3305072,3309306,3308043,3306570,3307505,3305879
3306229,3306369,3306962,3305774,3307278,3308188,3303535,3306184,3305697,3308733
3307318,3305739,3306351,3307217,3306289,3305737,3305390,3305948,3304890,3308223
3307408,3304739,3307615,3306646,3305390,3303773,3308336,3307286,3305046,3305344
3306965,3307270,3304834,3306885,3307317,3305507,3306016,3307017,3303878,3306065
3308172,3308931,3310633,3307979,3306953,3306463,3303322,3306600,3305921,3306003
